Comment,Designator,Footprint,LCSC
"MountingHole","H1,H2","MountingHole:MountingHole_2.5mm",""
"X/ROLL","J1","Connector_JST:JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal","C265105"
"Y/PITCH","J2","Connector_JST:JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal","C265105"
"Z/AUX","J3","Connector_JST:JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal","C265105"
"TM GRIP","J4","Connector_JST:JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal","C157923"
"AUX I/O","J5","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical",""
"OpenHornetLogoSmall","LOGO1","KiCAD Libraries:OH_LOGO_37.7mm_5.9mm",""
"OpenHornetLogoSmall","LOGO2","KiCAD Libraries:CC-BY-NC-SA-Small",""
"OpenHornetLogoSmall","LOGO3","KiCAD Libraries:OH_LOGO_ONLY_11x6mm",""
"IRLML6402TRPBF","Q1,Q2","Package_TO_SOT_SMD:SOT-23","C2593"
"2N7002","Q3","Package_TO_SOT_SMD:SOT-23","C8545"
"10k","R1","Resistor_SMD:R_0603_1608Metric","C25804"
"33","R2","Resistor_SMD:R_0402_1005Metric","C25105"
"RESET","SW1","KiCAD Libraries:SMD-SW-4_5.1x5.1","C318884"
"ProMicro","U1","Package_DIP:DIP-24_W15.24mm_Socket","C72120"
