Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0402_1005Metric",3.811500,-5.394000,270.000000,top
"D2","LED","LED_0402_1005Metric",3.811500,-8.569000,90.000000,top
"D3","LED","LED_0402_1005Metric",5.399000,-3.806500,0.000000,top
"D4","LED","LED_0402_1005Metric",5.399000,-5.394000,315.000000,top
"D5","LED","LED_0402_1005Metric",5.399000,-6.981500,0.000000,top
"D6","LED","LED_0402_1005Metric",5.399000,-8.569000,45.000000,top
"D7","LED","LED_0402_1005Metric",5.399000,-10.156500,0.000000,top
"D8","LED","LED_0402_1005Metric",6.986500,-5.394000,270.000000,top
"D9","LED","LED_0402_1005Metric",6.986500,-8.569000,90.000000,top
"D10","LED","LED_0402_1005Metric",8.574000,-3.806500,0.000000,top
"D11","LED","LED_0402_1005Metric",8.574000,-5.394000,45.000000,top
"D12","LED","LED_0402_1005Metric",8.574000,-6.981500,0.000000,top
"D13","LED","LED_0402_1005Metric",8.574000,-8.569000,315.000000,top
"D14","LED","LED_0402_1005Metric",8.574000,-10.156500,0.000000,top
"D15","LED","LED_0402_1005Metric",10.161500,-5.394000,270.000000,top
"D16","LED","LED_0402_1005Metric",10.161500,-8.569000,90.000000,top
