Ref,MidX,MidY,Rotation,Side
C1,127.592,-24.367,270,top
C2,125.342,-22.117,225,top
C3,128.031,-44.908,0,top
C4,126.031,-42.408,45,top
C5,128.16,-65.044,0,top
C6,126.255,-62.504,45,top
C7,128.16,-85.999,0,top
C8,126.255,-83.459,45,top
C9,128.16,-106.319,0,top
C10,126.255,-103.779,45,top
C11,22.75,-91.714,180,top
C12,24.655,-94.889,225,top
C13,53.23,-3.449,180,top
C14,55.77,-6.624,225,top
C15,78.63,-3.449,180,top
C16,81.17,-6.624,225,top
D1,11.2449,-12.504,90,top
D2,14.245,-12.504,90,top
D3,10.9649,-33.814,0,top
D4,13.305,-34.294,270,top
D5,3.6609,-36.178,225,top
D6,14.685,-36.004,135,top
D7,3.69,-46.105,315,top
D8,14.35,-46.135,45,top
D9,152.245,-31.504,180,top
D10,10.9949,-56.254,270,top
D11,13.745,-56.239,270,top
D12,4.9309,-60.943,225,top
D13,152.995,-11.504,90,top
D14,155.245,-11.504,90,top
D15,151.743,-16.239,225,top
D16,15.218,-61.197,135,top
D17,15.218,-71.103,45,top
D18,5.8199,-71.992,315,top
D19,154.1,-28.125,135,top
D20,162.284,-15.731,135,top
D21,163.09,-25.765,45,top
D22,6.4949,-80.254,270,top
D23,10.7449,-80.254,270,top
D24,13.995,-80.254,270,top
D25,149.965,-21.827,90,top
D26,152.745,-56.254,270,top
D27,154.995,-56.254,270,top
D28,151.616,-61.197,225,top
D29,162.411,-60.943,135,top
D30,162.71,-71.255,45,top
D31,152.74,-72.205,315,top
D32,153.995,-80.254,270,top
D33,157.995,-80.254,270,top
D34,161.245,-80.254,270,top
D35,1.1349,-41.544,270,top
D36,1.89,-39.605,270,top
R1,122.76,-24.17,180,top
R2,122.531,-43.908,180,top
R3,122.445,-63.774,180,top
R4,116.092,-9.766,90,top
R5,115.531,-30.408,90,top
R6,115.46,-50.592,90,top
R7,122.445,-84.729,180,top
R8,122.445,-105.049,180,top
R9,26.56,-95.524,270,top
R10,115.46,-71.394,90,top
R11,115.46,-91.714,90,top
R12,36.085,-107.589,270,top
R13,63.478,-18.017,270,top
R14,83.417,-18.398,270,top
R15,51.96,-27.579,0,top
R16,71.645,-27.579,0,top
U1,125.246,-14.367,270,top
U2,124.781,-34.908,270,top
U3,124.781,-55.048,270,top
U4,124.781,-75.823,270,top
U5,124.781,-96.463,270,top
U6,26.649,-103.355,90,top
U7,56.149,-18.355,0,top
U8,75.974,-18.355,0,top
