Comment,Val,Package,Mid X,Mid Y,Rotation,Side
D1,LED,LED_0402_1005Metric,-3.422,-18.0935,270,top
D1,LED,LED_0402_1005Metric,-49.5795,-34.1105,270,top
D1,LED,LED_0402_1005Metric,-3.422,-3.0335,270,top
D1,LED,LED_0402_1005Metric,-49.472,-18.0935,270,top
D1,LED,LED_0402_1005Metric,-32.5795,-34.1105,270,top
D1,LED,LED_0402_1005Metric,-49.472,-3.0335,270,top
D2,LED,LED_0402_1005Metric,-3.422,-6.2085,90,top
D2,LED,LED_0402_1005Metric,-49.5795,-37.2855,90,top
D2,LED,LED_0402_1005Metric,-49.472,-6.2085,90,top
D2,LED,LED_0402_1005Metric,-3.422,-21.2685,90,top
D2,LED,LED_0402_1005Metric,-49.472,-21.2685,90,top
D2,LED,LED_0402_1005Metric,-32.5795,-37.2855,90,top
D3,LED,LED_0402_1005Metric,-1.8345,-1.446,0,top
D3,LED,LED_0402_1005Metric,-47.992,-32.523,0,top
D3,LED,LED_0402_1005Metric,-47.8845,-16.506,0,top
D3,LED,LED_0402_1005Metric,-30.992,-32.523,0,top
D3,LED,LED_0402_1005Metric,-47.8845,-1.446,0,top
D3,LED,LED_0402_1005Metric,-1.8345,-16.506,0,top
D4,LED,LED_0402_1005Metric,-47.8845,-18.0935,315,top
D4,LED,LED_0402_1005Metric,-47.8845,-3.0335,315,top
D4,LED,LED_0402_1005Metric,-47.992,-34.1105,315,top
D4,LED,LED_0402_1005Metric,-1.8345,-18.0935,315,top
D4,LED,LED_0402_1005Metric,-1.8345,-3.0335,315,top
D4,LED,LED_0402_1005Metric,-30.992,-34.1105,315,top
D5,LED,LED_0402_1005Metric,-47.8845,-19.681,0,top
D5,LED,LED_0402_1005Metric,-1.8345,-4.621,0,top
D5,LED,LED_0402_1005Metric,-47.992,-35.698,0,top
D5,LED,LED_0402_1005Metric,-47.8845,-4.621,0,top
D5,LED,LED_0402_1005Metric,-30.992,-35.698,0,top
D5,LED,LED_0402_1005Metric,-1.8345,-19.681,0,top
D6,LED,LED_0402_1005Metric,-1.8345,-21.2685,45,top
D6,LED,LED_0402_1005Metric,-47.8845,-21.2685,45,top
D6,LED,LED_0402_1005Metric,-47.992,-37.2855,45,top
D6,LED,LED_0402_1005Metric,-30.992,-37.2855,45,top
D6,LED,LED_0402_1005Metric,-47.8845,-6.2085,45,top
D6,LED,LED_0402_1005Metric,-1.8345,-6.2085,45,top
D7,LED,LED_0402_1005Metric,-1.8345,-7.796,0,top
D7,LED,LED_0402_1005Metric,-47.992,-38.873,0,top
D7,LED,LED_0402_1005Metric,-30.992,-38.873,0,top
D7,LED,LED_0402_1005Metric,-47.8845,-7.796,0,top
D7,LED,LED_0402_1005Metric,-47.8845,-22.856,0,top
D7,LED,LED_0402_1005Metric,-1.8345,-22.856,0,top
D8,LED,LED_0402_1005Metric,-0.247,-3.0335,270,top
D8,LED,LED_0402_1005Metric,-29.4045,-34.1105,270,top
D8,LED,LED_0402_1005Metric,-46.297,-3.0335,270,top
D8,LED,LED_0402_1005Metric,-46.4045,-34.1105,270,top
D8,LED,LED_0402_1005Metric,-0.247,-18.0935,270,top
D8,LED,LED_0402_1005Metric,-46.297,-18.0935,270,top
D9,LED,LED_0402_1005Metric,-46.297,-6.2085,90,top
D9,LED,LED_0402_1005Metric,-0.247,-6.2085,90,top
D9,LED,LED_0402_1005Metric,-46.4045,-37.2855,90,top
D9,LED,LED_0402_1005Metric,-0.247,-21.2685,90,top
D9,LED,LED_0402_1005Metric,-29.4045,-37.2855,90,top
D9,LED,LED_0402_1005Metric,-46.297,-21.2685,90,top
D10,LED,LED_0402_1005Metric,-44.817,-32.523,0,top
D10,LED,LED_0402_1005Metric,1.3405,-1.446,0,top
D10,LED,LED_0402_1005Metric,-44.7095,-1.446,0,top
D10,LED,LED_0402_1005Metric,1.3405,-16.506,0,top
D10,LED,LED_0402_1005Metric,-44.7095,-16.506,0,top
D10,LED,LED_0402_1005Metric,-27.817,-32.523,0,top
D11,LED,LED_0402_1005Metric,1.3405,-3.0335,45,top
D11,LED,LED_0402_1005Metric,-44.7095,-18.0935,45,top
D11,LED,LED_0402_1005Metric,-44.7095,-3.0335,45,top
D11,LED,LED_0402_1005Metric,1.3405,-18.0935,45,top
D11,LED,LED_0402_1005Metric,-27.817,-34.1105,45,top
D11,LED,LED_0402_1005Metric,-44.817,-34.1105,45,top
D12,LED,LED_0402_1005Metric,-27.817,-35.698,0,top
D12,LED,LED_0402_1005Metric,-44.7095,-4.621,0,top
D12,LED,LED_0402_1005Metric,-44.7095,-19.681,0,top
D12,LED,LED_0402_1005Metric,-44.817,-35.698,0,top
D12,LED,LED_0402_1005Metric,1.3405,-19.681,0,top
D12,LED,LED_0402_1005Metric,1.3405,-4.621,0,top
D13,LED,LED_0402_1005Metric,-44.7095,-6.2085,315,top
D13,LED,LED_0402_1005Metric,-27.817,-37.2855,315,top
D13,LED,LED_0402_1005Metric,1.3405,-6.2085,315,top
D13,LED,LED_0402_1005Metric,-44.817,-37.2855,315,top
D13,LED,LED_0402_1005Metric,1.3405,-21.2685,315,top
D13,LED,LED_0402_1005Metric,-44.7095,-21.2685,315,top
D14,LED,LED_0402_1005Metric,-44.817,-38.873,0,top
D14,LED,LED_0402_1005Metric,1.3405,-22.856,0,top
D14,LED,LED_0402_1005Metric,-44.7095,-22.856,0,top
D14,LED,LED_0402_1005Metric,1.3405,-7.796,0,top
D14,LED,LED_0402_1005Metric,-27.817,-38.873,0,top
D14,LED,LED_0402_1005Metric,-44.7095,-7.796,0,top
D15,LED,LED_0402_1005Metric,-43.122,-18.0935,270,top
D15,LED,LED_0402_1005Metric,-26.2295,-34.1105,270,top
D15,LED,LED_0402_1005Metric,2.928,-18.0935,270,top
D15,LED,LED_0402_1005Metric,-43.122,-3.0335,270,top
D15,LED,LED_0402_1005Metric,2.928,-3.0335,270,top
D15,LED,LED_0402_1005Metric,-43.2295,-34.1105,270,top
D16,LED,LED_0402_1005Metric,-43.122,-21.2685,90,top
D16,LED,LED_0402_1005Metric,2.928,-6.2085,90,top
D16,LED,LED_0402_1005Metric,2.928,-21.2685,90,top
D16,LED,LED_0402_1005Metric,-43.122,-6.2085,90,top
D16,LED,LED_0402_1005Metric,-26.2295,-37.2855,90,top
D16,LED,LED_0402_1005Metric,-43.2295,-37.2855,90,top
D17,LED,LED_0402_1005Metric,6.738,-18.0935,270,top
D17,LED,LED_0402_1005Metric,-39.312,-18.0935,270,top
D17,LED,LED_0402_1005Metric,6.738,-3.0335,270,top
D17,LED,LED_0402_1005Metric,-39.312,-3.0335,270,top
D18,LED,LED_0402_1005Metric,6.738,-21.2685,90,top
D18,LED,LED_0402_1005Metric,-39.312,-6.2085,90,top
D18,LED,LED_0402_1005Metric,6.738,-6.2085,90,top
D18,LED,LED_0402_1005Metric,-39.312,-21.2685,90,top
D19,LED,LED_0402_1005Metric,-37.7245,-16.506,0,top
D19,LED,LED_0402_1005Metric,8.3255,-16.506,0,top
D19,LED,LED_0402_1005Metric,-37.7245,-1.446,0,top
D19,LED,LED_0402_1005Metric,8.3255,-1.446,0,top
D20,LED,LED_0402_1005Metric,-37.7245,-3.0335,315,top
D20,LED,LED_0402_1005Metric,-37.7245,-18.0935,315,top
D20,LED,LED_0402_1005Metric,8.3255,-18.0935,315,top
D20,LED,LED_0402_1005Metric,8.3255,-3.0335,315,top
D21,LED,LED_0402_1005Metric,8.3255,-4.621,0,top
D21,LED,LED_0402_1005Metric,8.3255,-19.681,0,top
D21,LED,LED_0402_1005Metric,-37.7245,-19.681,0,top
D21,LED,LED_0402_1005Metric,-37.7245,-4.621,0,top
D22,LED,LED_0402_1005Metric,8.3255,-6.2085,45,top
D22,LED,LED_0402_1005Metric,8.3255,-21.2685,45,top
D22,LED,LED_0402_1005Metric,-37.7245,-6.2085,45,top
D22,LED,LED_0402_1005Metric,-37.7245,-21.2685,45,top
