Comment,Mid X,Mid Y,Rotation,Side
D1,-22.949,-26.673,0,top
D1,7.051,-26.673,0,top
D1,36.4205,7.0145,270,top
D1,-37.949,-26.673,0,top
D1,-7.949,-26.673,0,top
D1,-40.7895,-39.5035,270,top
D1,22.051,-26.673,0,top
D1,36.4205,-9.9855,270,top
D2,-19.774,-26.673,180,top
D2,10.226,-26.673,180,top
D2,36.4205,-13.1605,90,top
D2,25.226,-26.673,180,top
D2,-4.774,-26.673,180,top
D2,-34.774,-26.673,180,top
D2,-40.7895,-42.6785,90,top
D2,36.4205,3.8395,90,top
D3,-24.5365,-25.085,90,top
D3,-9.5365,-25.085,90,top
D3,38.008,8.602,0,top
D3,-39.202,-37.916,0,top
D3,5.4635,-25.085,90,top
D3,-39.5365,-25.085,90,top
D3,20.4635,-25.085,90,top
D3,38.008,-8.398,0,top
D4,7.051,-25.085,45,top
D4,22.051,-25.085,45,top
D4,-39.202,-39.5035,315,top
D4,38.008,7.0145,315,top
D4,-7.949,-25.085,45,top
D4,-37.949,-25.085,45,top
D4,38.008,-9.9855,315,top
D4,-22.949,-25.085,45,top
D5,38.008,-11.573,0,top
D5,23.6385,-25.085,90,top
D5,-21.3615,-25.085,90,top
D5,8.6385,-25.085,90,top
D5,-39.202,-41.091,0,top
D5,38.008,5.427,0,top
D5,-6.3615,-25.085,90,top
D5,-36.3615,-25.085,90,top
D6,-4.774,-25.085,135,top
D6,-39.202,-42.6785,45,top
D6,38.008,3.8395,45,top
D6,-19.774,-25.085,135,top
D6,10.226,-25.085,135,top
D6,38.008,-13.1605,45,top
D6,25.226,-25.085,135,top
D6,-34.774,-25.085,135,top
D7,-39.202,-44.266,0,top
D7,38.008,-14.748,0,top
D7,26.8135,-25.085,90,top
D7,-18.1865,-25.085,90,top
D7,-33.1865,-25.085,90,top
D7,11.8135,-25.085,90,top
D7,38.008,2.252,0,top
D7,-3.1865,-25.085,90,top
D8,7.051,-23.497,0,top
D8,22.051,-23.497,0,top
D8,-37.949,-23.497,0,top
D8,-37.6145,-39.5035,270,top
D8,-7.949,-23.497,0,top
D8,39.5955,-9.9855,270,top
D8,-22.949,-23.497,0,top
D8,39.5955,7.0145,270,top
D9,39.5955,-13.1605,90,top
D9,-19.774,-23.497,180,top
D9,-37.6145,-42.6785,90,top
D9,-34.774,-23.497,180,top
D9,-4.774,-23.497,180,top
D9,10.226,-23.497,180,top
D9,39.5955,3.8395,90,top
D9,25.226,-23.497,180,top
D10,41.183,-8.398,0,top
D10,20.4635,-21.91,90,top
D10,41.183,8.602,0,top
D10,5.4635,-21.91,90,top
D10,-36.027,-37.916,0,top
D10,-24.5365,-21.91,90,top
D10,-9.5365,-21.91,90,top
D10,-39.5365,-21.91,90,top
D11,-37.949,-21.91,135,top
D11,41.183,-9.9855,45,top
D11,-22.949,-21.91,135,top
D11,-36.027,-39.5035,45,top
D11,7.051,-21.91,135,top
D11,-7.949,-21.91,135,top
D11,22.051,-21.91,135,top
D11,41.183,7.0145,45,top
D12,-21.3615,-21.91,90,top
D12,8.6385,-21.91,90,top
D12,-36.3615,-21.91,90,top
D12,41.183,5.427,0,top
D12,-36.027,-41.091,0,top
D12,-6.3615,-21.91,90,top
D12,41.183,-11.573,0,top
D12,23.6385,-21.91,90,top
D13,25.226,-21.91,45,top
D13,-36.027,-42.6785,315,top
D13,-19.774,-21.91,45,top
D13,41.183,3.8395,315,top
D13,10.226,-21.91,45,top
D13,41.183,-13.1605,315,top
D13,-34.774,-21.91,45,top
D13,-4.774,-21.91,45,top
D14,-18.1865,-21.91,90,top
D14,41.183,2.252,0,top
D14,26.8135,-21.91,90,top
D14,11.8135,-21.91,90,top
D14,-3.1865,-21.91,90,top
D14,-33.1865,-21.91,90,top
D14,41.183,-14.748,0,top
D14,-36.027,-44.266,0,top
D15,-22.949,-20.323,0,top
D15,22.051,-20.323,0,top
D15,42.7705,7.0145,270,top
D15,7.051,-20.323,0,top
D15,42.7705,-9.9855,270,top
D15,-7.949,-20.323,0,top
D15,-34.4395,-39.5035,270,top
D15,-37.949,-20.323,0,top
D16,42.7705,3.8395,90,top
D16,-19.774,-20.323,180,top
D16,-4.774,-20.323,180,top
D16,-34.4395,-42.6785,90,top
D16,42.7705,-13.1605,90,top
D16,10.226,-20.323,180,top
D16,25.226,-20.323,180,top
D16,-34.774,-20.323,180,top
D17,-32.866,-39.504,270,top
D17,-37.949,-16.513,0,top
D17,7.051,-16.513,0,top
D17,-22.949,-16.513,0,top
D17,22.051,-16.513,0,top
D17,-7.949,-16.513,0,top
D18,-4.774,-16.513,180,top
D18,25.226,-16.513,180,top
D18,10.226,-16.513,180,top
D18,-19.774,-16.513,180,top
D18,-32.866,-42.679,90,top
D18,-34.774,-16.513,180,top
D19,-31.2785,-37.9165,0,top
D19,20.4635,-14.925,90,top
D19,-9.5365,-14.925,90,top
D19,-24.5365,-14.925,90,top
D19,-39.5365,-14.925,90,top
D19,5.4635,-14.925,90,top
D20,-7.949,-14.925,45,top
D20,22.051,-14.925,45,top
D20,7.051,-14.925,45,top
D20,-31.2785,-39.504,315,top
D20,-22.949,-14.925,45,top
D20,-37.949,-14.925,45,top
D21,23.6385,-14.925,90,top
D21,-36.3615,-14.925,90,top
D21,-6.3615,-14.925,90,top
D21,-31.2785,-41.0915,0,top
D21,8.6385,-14.925,90,top
D21,-21.3615,-14.925,90,top
D22,-4.774,-14.925,135,top
D22,25.226,-14.925,135,top
D22,-19.774,-14.925,135,top
D22,10.226,-14.925,135,top
D22,-31.2785,-42.679,45,top
D22,-34.774,-14.925,135,top
D23,-31.2785,-44.2665,0,top
D23,-3.1865,-14.925,90,top
D23,26.8135,-14.925,90,top
D23,-18.1865,-14.925,90,top
D23,11.8135,-14.925,90,top
D23,-33.1865,-14.925,90,top
D24,-37.949,-13.337,0,top
D24,-7.949,-13.337,0,top
D24,-22.949,-13.337,0,top
D24,7.051,-13.337,0,top
D24,22.051,-13.337,0,top
