Ref,Val,Package,PosX,PosY,Rot,Side
"D1","0,0","LED_0603_HandSoldering",2.048802,-14.407208,90.000000,top
"D2","1,0","LED_0603_HandSoldering",2.048802,-23.407208,90.000000,top
"D3","2,0","LED_0603_HandSoldering",2.048802,-32.397208,90.000000,top
"D4","3,0","LED_0603_HandSoldering",2.048802,-41.387208,90.000000,top
"D5","4,0","LED_0603_HandSoldering",2.048802,-50.377208,90.000000,top
"D6","5,0","LED_0603_HandSoldering",2.048802,-59.367208,90.000000,top
"D7","0,1","LED_0603_HandSoldering",11.398802,-14.407208,90.000000,top
"D8","1,1","LED_0603_HandSoldering",11.398802,-23.407208,90.000000,top
"D9","2,1","LED_0603_HandSoldering",11.398802,-32.397208,90.000000,top
"D10","3,1","LED_0603_HandSoldering",11.398802,-41.387208,90.000000,top
"D11","4,1","LED_0603_HandSoldering",11.398802,-50.377208,90.000000,top
"D12","5,1","LED_0603_HandSoldering",11.398802,-59.367208,90.000000,top
"D13","0,2","LED_0603_HandSoldering",20.008802,-14.407208,90.000000,top
"D14","1,2","LED_0603_HandSoldering",20.008802,-23.407208,90.000000,top
"D15","2,2","LED_0603_HandSoldering",20.008802,-32.397208,90.000000,top
"D16","3,2","LED_0603_HandSoldering",20.008802,-41.387208,90.000000,top
"D17","4,2","LED_0603_HandSoldering",20.008802,-50.377208,90.000000,top
"D18","0,3","LED_0603_HandSoldering",28.538802,-14.407208,90.000000,top
"D19","1.3","LED_0603_HandSoldering",28.538802,-23.407208,90.000000,top
"D20","2,3","LED_0603_HandSoldering",28.538802,-32.397208,90.000000,top
"D21","3,3","LED_0603_HandSoldering",28.538802,-41.387208,90.000000,top
"D22","4,3","LED_0603_HandSoldering",28.538802,-50.377208,90.000000,top
"D23","1.4","LED_0603_HandSoldering",41.198802,-23.407208,270.000000,top
"D24","2,4","LED_0603_HandSoldering",41.198802,-32.397208,90.000000,top
"D25","1.5","LED_0603_HandSoldering",49.268802,-23.407208,270.000000,top
"D26","2,5","LED_0603_HandSoldering",49.268802,-32.397208,90.000000,top
"D27","1.6","LED_0603_HandSoldering",65.168802,-23.407208,270.000000,top
"D28","2,6","LED_0603_HandSoldering",65.168802,-32.397208,90.000000,top
"D29","1.7","LED_0603_HandSoldering",73.238802,-23.407208,270.000000,top
"D30","2,7","LED_0603_HandSoldering",73.238802,-32.397208,90.000000,top
