Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",0.068000,0.779000,270.000000,bottom
"C3","100nF","C_0402_1005Metric",1.203000,0.982000,0.000000,bottom
"IC1","MAX7219","SOIC-24W_7.5x15.4mm_P1.27mm",0.818000,1.060000,0.000000,bottom
"J1","PWR","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",0.720000,0.557000,90.000000,bottom
"J2","BUS IN","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left",0.518000,0.221000,180.000000,bottom
"J3","BUS OUT","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left",0.898000,0.220000,180.000000,bottom
"J4","PGM ENBLE","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",0.337000,1.245000,0.000000,bottom
"P1","Digital","PinHeader_1x15_P2.54mm_Vertical_SMD_Pin1Left",0.884000,2.508000,0.000000,bottom
"P2","Analog","PinHeader_1x15_P2.54mm_Vertical_SMD_Pin1Left",0.284000,2.508000,0.000000,bottom
"R1","120","R_0402_1005Metric",0.277000,0.699000,0.000000,bottom
"R2","30K","R_0402_1005Metric",1.125000,1.064000,90.000000,bottom
"U1","MAX487EESA+T","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",0.274000,0.900000,270.000000,bottom
