Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",1.727200,19.786600,270.000000,bottom
"C3","100nF","C_0402_1005Metric",30.556200,24.942800,0.000000,bottom
"IC1","MAX7219","SOIC-24W_7.5x15.4mm_P1.27mm",20.777200,26.924000,0.000000,bottom
"J1","PWR","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left",18.288000,14.147800,90.000000,bottom
"J2","BUS IN","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left",13.157200,5.613400,180.000000,bottom
"J3","BUS OUT","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left",22.809200,5.588000,180.000000,bottom
"J4","PGM ENBLE","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",8.559800,31.623000,0.000000,bottom
"P1","Digital","PinHeader_1x15_P2.54mm_Vertical_SMD_Pin1Left",22.453600,63.703200,0.000000,bottom
"P2","Analog","PinHeader_1x15_P2.54mm_Vertical_SMD_Pin1Left",7.213600,63.703200,0.000000,bottom
"R1","120","R_0402_1005Metric",7.035800,17.754600,0.000000,bottom
"R2","30K","R_0402_1005Metric",28.575000,27.025600,90.000000,bottom
"U1","MAX487EESA+T","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",6.959600,22.860000,270.000000,bottom
