Qty;PN;Description;Reference
1;NL2FXX-W-S;"PLUG, NEUTRIK SPEAKON, 2 POS";0A1W1P1
1;NL2FXX-W-S;"PLUG, NEUTRIK SPEAKON, 2 POS";0A1W1P2
1;CA-USB3-AM-BM-10FT;"CABLE, USB-A MALE TO USB-B MALE, USB 3.2, 10'L";0A1W2
1;ABSIS-CA-C-XXX;"CABLE, ABSIS, TYPE-C";0A1W3
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";0A1W4
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";0A1W5
1;39-01-2220;"CONN, PLUG, HSG, 22POS, 2ROW, 4.20MM, MOLEX 5557 MINI-FIT JR";0A1W6P1
1;39-01-2220;"CONN, PLUG, HSG, 22POS, 2ROW, 4.20MM, MOLEX 5557 MINI-FIT JR";0A1W6P2
1;CA-USB3-AM-BM-10FT;"CABLE, USB-A MALE TO USB-B MALE, USB 3.2, 10'L";0A2W1
1;ABSIS-CA-C-XXX;"CABLE, ABSIS, TYPE-C";0A2W2
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";0A2W3
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";0A2W4
1;ABSIS-CA-C-XXX;"CABLE, ABSIS, TYPE-C";1A1W1
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";1A1W2
1;P568-010-FL;"CABLE, HDMI-A, M-M, 10'L, SHLD";1A1W3
1;P568-010-FL;"CABLE, HDMI-A, M-M, 10'L, SHLD";1A1W4
1;ABSIS-CA-J-XXX;"CABLE, ABSIS, TYPE-J";1A1W5
1;PP-002D-01;"CONN, BARREL, POWER, MALE, 1.35 ID X 3.5 OD X 9MM L";1A1W5P1
1;PP-002D-01;"CONN, BARREL, POWER, MALE, 1.35 ID X 3.5 OD X 9MM L";1A1W5P2
1;ABSIS-CA-J-XXX;"CABLE, ABSIS, TYPE-J";1A1W6
1;M20-1060200;"CONN, RCPT, HSG, 2POS, 1ROW, 2.54MM, ""DUPONT""";1A1W6P3
1;PHR-4;"CONN, PLUG, HSG, 4POS, 2.00MM, JST PH";1A1W6P4
1;PHR-4;"CONN, PLUG, HSG, 4POS, 2.00MM, JST PH";1A1W6P5
1;ABSIS-CA-J-XXX;"CABLE, ABSIS, TYPE-J";1A1W7
1;ABSIS-CA-A-XXX;"CABLE, ABSIS, TYPE-A";1A1W8
1;ABSIS-CA-A-XXX;"CABLE, ABSIS, TYPE-A";1A1W9
1;ABSIS-CA-A-XXX;"CABLE, ABSIS, TYPE-A";1A1W10
1;ABSIS-CA-A-XXX;"CABLE, ABSIS, TYPE-A";1A1W11
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";1A1W12
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";1A1W13
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";1A1W14
1;ABSIS-CA-B-XXX;"CABLE, ABSIS, TYPE-B";1A1W15
1;AK67421-2;"CABLE, USB-A MALE TO USB MICRO-B MALE, USB 2.0, 2.0m L";1A1W16
1;AK67421-2;"CABLE, USB-A MALE TO USB MICRO-B MALE, USB 2.0, 2.0m L";1A1W17
1;AK67421-2;"CABLE, USB-A MALE TO USB MICRO-B MALE, USB 2.0, 2.0m L";1A1W18
1;AK67421-2;"CABLE, USB-A MALE TO USB MICRO-B MALE, USB 2.0, 2.0m L";1A1W19
1;AK67421-2;"CABLE, USB-A MALE TO USB MICRO-B MALE, USB 2.0, 2.0m L";1A1W20
1;AK67421-2;"CABLE, USB-A MALE TO USB MICRO-B MALE, USB 2.0, 2.0m L";1A1W21
