Comment,Designator,Footprint,LCSC Part Number
0.1uF,"C1,C2,C3",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C49678
PWR IN,J1,Connector_Molex:Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,
BUS #1,J2,Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,
BUS #2,J3,Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,
BUS #3,J4,Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,
MH,"MK1,MK3,MK4,MK6",Socket_Arduino_Mega:Arduino_1pin,
Power,P1,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
Analog,"P2,P3",Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
Digital,P4,Connector_PinHeader_2.54mm:PinHeader_2x18_P2.54mm_Vertical,
PWM,P5,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
PWM,P6,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
Communication,P7,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,
120,"R1,R2,R3",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17437
TP-12,TP1,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-B3A,TP10,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-5V,TP2,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-3.3V,TP3,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-GND,TP4,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-B1B,TP5,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-B1A,TP6,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-B2B,TP7,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-B2A,TP8,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-B3B,TP9,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
MAX487EESA+T,"U1,U2,U3",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C116539
