Comment,Designator,Footprint,LCSC
0.1uF,C1,Capacitor_SMD:C_0805_2012Metric,C49678
MH,"H1,H2,H3,H4",MountingHole:MountingHole_3.2mm_M3_DIN965,
BUS IN,J1,Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,
BUS OUT,J2,Connector_Molex:Molex_Mini-Fit_Jr_5566-06A2_2x03_P4.20mm_Vertical,
I/O #1,J3,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical,MTP125-1240S1
I/O #2,J4,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical,MTP125-1240S1
GND,J5,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,
ACC PWR,J6,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical,MTP125-1240S1
OpenHornetLogoSmall,LOGO1,KiCAD Libraries:OH_LOGO_ONLY_11x6mm,
Digital,P1,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical,
Analog,P2,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical,
TP-12,TP1,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-5V,TP2,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-3.3V,TP3,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-GND,TP4,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-A,TP5,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
TP-B,TP6,TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm,
MAX487EESA+T,U1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C116539
