"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"ENABLE";;;
2;"J1";"Molex_KK-6410-04_04x2.54mm_Straight";1;"PWR";;;
3;"P1";"Socket_Strip_Arduino_1x15";1;"Digital";;;
4;"P2";"Socket_Strip_Arduino_1x15";1;"Analog";;;
5;"C1";"C_0603_HandSoldering";1;"0.1uF";;;
6;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MAX487EESAS";;;
7;"J2";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS IN";;;
8;"J3";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS OUT";;;
9;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"120";;;
10;"J4";"PinHeader_2x12_P2.54mm_Vertical";1;"I/O";;;
