"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OH_LOGO_37.7mm_5.9mm";1;"LOGO";;;
2;"SW5,SW4,SW1,SW3,SW2";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";5;"SW_Push";;;
3;"P3,P5,P4,P6";"MountingHole_2.5mm";4;"CONN_01X01";;;
4;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MAX487EESA";;;
5;"J5";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"RPOT1";;;
6;"J6";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"RPOT2";;;
7;"J7";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"5POS";;;
8;"C1";"C_0805_HandSoldering";1;"0.1uF";;;
9;"C2";"C_0805_HandSoldering";1;"100nF";;;
10;"R1";"R_0805_HandSoldering";1;"120";;;
11;"U2";"SOIC-24W_7.5x15.4mm_Pitch1.27mm";1;"STP16CPC26";;;
12;"D14,D25,D24,D23,D22,D21,D20,D19,D18,D15,D12,D11,D8,D7,D5,D4,D2,D16,D1,D13";"LED_0603_HandSoldering";20;"WHT";;;
13;"P1";"Socket_Strip_Straight_1x15_Pitch2.54mm";1;"Digital";;;
14;"P2";"Socket_Strip_Straight_1x15_Pitch2.54mm";1;"Analog";;;
15;"J4";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"PGM SEL";;;
16;"J1";"Molex_KK-6410-04_04x2.54mm_Straight";1;"PWR";;;
17;"J2";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS IN";;;
18;"J3";"Molex_KK-6410-03_03x2.54mm_Straight";1;"BUS OUT";;;
