"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"OH_LOGO_37.7mm_5.9mm";2;"LOGO";;;
2;"MK4,MK2,MK3,MK1";"MountingHole_4.3mm_M4";4;"Mounting_Hole";;;
3;"DIG0-0,DIG0-1,DIG0-2,DIG0-3,DIG1-0,DIG1-1,DIG1-2,DIG1-3,DIG2-0,DIG2-1,DIG2-2,DIG2-3,DIG3-0,DIG3-1,DIG3-2,DIG3-3,DIG4-0,DIG4-1,DIG4-2,DIG4-3,DIG5-0,DIG5-1";"LTP-305G";22;"LTP-305G";;;
4;"IC0,IC1,IC2,IC3,IC4,IC5";"MAX6953";6;"MAX6953";;;
5;"SW1";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"1";;;
6;"SW2";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"4";;;
7;"SW3";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"7";;;
8;"SW4";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"CLR";;;
9;"SW5";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"2";;;
10;"SW6";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"5";;;
11;"SW7";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"8";;;
12;"SW8";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"~0";;;
13;"SW9";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"I/P";;;
14;"SW10";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"3";;;
15;"SW11";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"6";;;
16;"SW12";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"9";;;
17;"SW13";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"ENT";;;
18;"SW14";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"EMCON";;;
19;"SW15";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"OPT2";;;
20;"SW16";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"OPT3";;;
21;"SW17";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"OPT4";;;
22;"SW18";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"OPT5";;;
23;"SW19";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";1;"OPT1";;;
24;"C1";"CP_Elec_6.3x7.7";1;"220uF";;;
25;"Q1,Q2";"SOT-23";2;"BSS138";;;
26;"G***";"CC-BY-NC-SA";1;"LOGO";;;
27;"C2,C3,C4,C11,C12,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"47uF";;;
28;"C5,C6,C7,C14,C15,C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"27pF";;;
29;"C8,C9,C10,C17,C18,C19";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"100nF";;;
30;"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";10;"WP914GDT";;;
31;"R1,R2,R3,R4,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"33";;;
32;"R6,R7,R8,R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10k";;;
33;"R15,R16,R17,R27,R28,R29";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"53.6k";;;
34;"J1";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"PWR IN ";;;
35;"J2";"PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Left";1;"OLED DISP";;;
36;"J3";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"BRT/COMM2";;;
37;"J4";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"COM1 ENC";;;
38;"J5";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"COM2 ENC";;;
39;"J6";"PinHeader_2x04_P2.54mm_Vertical_SMD";1;"AP BTNS ";;;
40;"J7";"PinHeader_2x08_P2.54mm_Vertical_SMD";1;"HUD PANL";;;
41;"J8";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"HUD BIT";;;
42;"J9";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"ADF/COMM1";;;
43;"P1";"PinHeader_2x18_P2.54mm_Vertical_SMD";1;"MEGA CONN 2";;;
44;"P2";"PinHeader_2x18_P2.54mm_Vertical_SMD";1;"MEGA CONN 1";;;
