Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,127.260768,-75.457869,180.0,bottom
C2,100nF,C_0402_1005Metric,133.4,-102.48,180.0,bottom
C3,100nF,C_0402_1005Metric,132.82,-100.17,270.0,bottom
C4,22uF,C_0805_2012Metric,139.48,-101.02,90.0,bottom
C5,22uF,C_0805_2012Metric,141.5,-101.02,90.0,bottom
C6,22uF,C_0805_2012Metric,143.52,-101.01,90.0,bottom
C7,1pF,C_0402_1005Metric,136.91,-99.73,0.0,bottom
C8,10uF,C_0603_1608Metric,133.58,-104.48,90.0,bottom
D1,CDSOT23-SM712,CDSOT23-SM712,124.540768,-77.877869,90.0,bottom
D2,SS34,SS34,150.92,-96.11,270.0,bottom
D3,SMBJ12A,SMBJ12A,144.17,-105.03,180.0,bottom
F1,1812L300_24SLER,1812L300_24SLER,137.47,-104.69,0.0,bottom
IC1,THVD1410DR,THVD1410DR,130.070768,-78.727869,0.0,bottom
IC2,SOTFL50P160X60-8N,TPS563300DRLR,134.64,-100.6,90.0,bottom
J1,39-28-8060,39-28-8060,125.39,-68.96,-90.0,top
J11,2.54-2*2P,PinHeader_2x02_P2.54mm_Vertical,143.45,-60.04,0.0,bottom
J12,PZ254V-11-03P,PinHeader_1x03_P2.54mm_Vertical,136.65,-120.65,90.0,top
J2,39-28-8060,39-28-8060,125.39,-91.96,-90.0,top
J3,PZ254V-11-02P,PinHeader_1x02_P2.54mm_Vertical,149.08,-120.65,90.0,top
J4,PZ254V-11-03P,PinHeader_1x03_P2.54mm_Vertical,136.67,-109.08,90.0,top
J5,PZ254V-11-02P,PinHeader_1x02_P2.54mm_Vertical,149.07,-109.05,90.0,top
J6,B2B-XH-A(LF)(SN),B2B-XH-A__LF__SN_,126.801538,-110.539903,90.0,bottom
J7,B2B-XH-A(LF)(SN),B2B-XH-A__LF__SN_,126.806538,-118.499903,90.0,bottom
J8,B-2100S12P-B110,PinHeader_2x06_P2.54mm_Vertical,143.45,-90.52,0.0,bottom
J9,B-2100S12P-B110,PinHeader_2x06_P2.54mm_Vertical,143.45,-72.74,0.0,bottom
L1,5.6uH,SRP6060FA-5R6M,134.72,-94.83,270.0,bottom
Q1,AO3400A,AO3400A,139.62,-116.71,180.0,bottom
Q2,IRLML6402TRPBF,IRLML6402TRPBF,133.491784,-116.69852,0.0,bottom
Q3,AO3400A,AO3400A,139.63,-113.04,180.0,bottom
Q4,IRLML6402TRPBF,IRLML6402TRPBF,133.49,-113.08,0.0,bottom
R1,10kΩ,R_0402_1005Metric,132.800768,-74.997869,90.0,bottom
R10,10kΩ,R_0402_1005Metric,142.26,-113.91,270.0,bottom
R11,10kΩ,R_0402_1005Metric,136.47,-101.18,90.0,bottom
R12,80.6kΩ,R_0402_1005Metric,137.47,-101.18,270.0,bottom
R2,10Ω,R_0805_2012Metric,130.641464,-83.222497,90.0,bottom
R3,10Ω,R_0805_2012Metric,128.681464,-83.212497,90.0,bottom
R4,10kΩ,R_0402_1005Metric,132.810768,-82.467869,90.0,bottom
R5,10kΩ,R_0402_1005Metric,135.968216,-116.17148,270.0,bottom
R6,10kΩ,R_0402_1005Metric,136.968216,-116.18148,90.0,bottom
R7,10kΩ,R_0402_1005Metric,142.25,-117.14,270.0,bottom
R8,10kΩ,R_0402_1005Metric,135.98,-113.55,90.0,bottom
R9,10kΩ,R_0402_1005Metric,136.98,-113.56,270.0,bottom
XU2,PRO_MICRO_5V/16MHZ,PRO_MICRO_5V16MHZ,143.51,-75.25,0.0,top
