Comment,Designator,Footprint,LCSC
10k,"R1,R2,R3,R4,R5,R6",R_0603_1608Metric,C25804
IRLML6402TRPBF,"Q2,Q3",SOT-23,C2593
IRFB3206PBF,"Q1,Q4",TO-220-3_Vertical,C2642
PinSocket_Long_1x06,J2,PinSocket_1x06_P2.54mm_Vertical,
PinSocket_Long_2x16,J1,PinSocket_2x16_P2.54mm_Vertical,
JST_PH_01x02,J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
JST_PH_01x02,J4,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
PinHeader_1x03,JP1,PinHeader_1x03_P2.54mm_Vertical,
PinHeader_1x03,JP2,PinHeader_1x03_P2.54mm_Vertical,
PinHeader_1x03,JP4,PinHeader_1x03_P2.54mm_Vertical,
PinHeader_1x03,JP3,PinHeader_1x03_P2.54mm_Vertical,
