Comment,Designator,Footprint,LCSC
MAX487EESA+T,U1,SOIC-8_3.9x4.9mm_P1.27mm,C116539
0.1uF,C1,C_0805_2012Metric,C49678
Mini-Fit Jr. 2x03,"J1,J2",Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,C589019
PinHeader_2x02,J7,PinHeader_2x02_P2.54mm_Vertical,C66690
PinHeader_2x10,J5,PinHeader_2x10_P2.54mm_Vertical,
PinHeader_2x10,J6,PinHeader_2x10_P2.54mm_Vertical,
PinHeader_2x11,J3,PinHeader_2x11_P2.54mm_Vertical,
PinHeader_2x10,J4,PinHeader_2x10_P2.54mm_Vertical,
PinHeader_1x02,JP1,PinHeader_1x02_P2.54mm_Vertical,
PinHeader_2x18,J14,PinHeader_2x18_P2.54mm_Vertical,
PinHeader_1x08,J8,PinHeader_1x08_P2.54mm_Vertical,
PinHeader_1x08,J10,PinHeader_1x08_P2.54mm_Vertical,
PinHeader_1x08,J12,PinHeader_1x08_P2.54mm_Vertical,
PinHeader_1x10,J9,PinHeader_1x10_P2.54mm_Vertical,
PinHeader_1x08,J11,PinHeader_1x08_P2.54mm_Vertical,
PinHeader_1x08,J13,PinHeader_1x08_P2.54mm_Vertical,
