Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1uF,C_0805_2012Metric,15.84,30.316,180.0,top
D1,CDSOT23-SM712,CDSOT23-SM712,22.397166,26.473074,180.0,top
D2,S3MB,D_SMB,35.0,7.166,180.0,top
IC2,THVD1410DR,THVD1410DR,13.297166,26.503074,0.0,top
J1,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,10.935,39.76,90.0,top
J2,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal,10.935,13.725,90.0,top
R1,10kΩ,R_0805_2012Metric,11.68,21.686,180.0,top
R4,10Ω,R_0805_2012Metric,18.757166,27.483074,0.0,top
R5,10Ω,R_0805_2012Metric,18.757166,25.533074,0.0,top
R7,10kΩ,R_0805_2012Metric,11.267166,30.283074,180.0,top
