Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Blue,LED_D3.0mm,87.694,-120.3706,90.0,top
D2,Green,LED_D3.0mm,92.266,-120.3706,90.0,top
D3,Green,LED_D3.0mm,96.838,-120.3706,90.0,top
D4,Green,LED_D3.0mm,101.41,-120.3706,90.0,top
D5,Green,LED_D3.0mm,106.01,-120.3226,90.0,top
J1,PinHeader_1x04,PinHeader_1x04_P2.54mm_Vertical,71.601,-121.158,90.0,top
J2,Molex_Mini-Fit_Jr._2x12,Molex_Mini-Fit_Jr_5566-24A2_2x12_P4.20mm_Vertical,65.9988,-88.0224,-90.0,top
J3,Molex_Mini-fit_Jr._2x05,Molex_Mini-Fit_Jr_5566-10A2_2x05_P4.20mm_Vertical,99.2356,-85.0646,-90.0,top
J4,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,116.2883,-82.9646,-90.0,top
J5,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,133.341,-82.9646,-90.0,top
J6,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,150.3937,-82.9646,-90.0,top
J7,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,167.4464,-82.9646,-90.0,top
J8,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,116.2883,-109.6018,-90.0,top
J9,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,133.341,-109.6018,-90.0,top
J10,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,150.3937,-109.6018,-90.0,top
J11,Molex_Mini-Fit_Jr._2x04,Molex_Mini-Fit_Jr_5566-08A2_2x04_P4.20mm_Vertical,167.4464,-109.6018,-90.0,top
J12,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,78.5198,-59.8436,180.0,top
J13,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,85.5048,-59.8436,180.0,top
J14,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,92.4898,-59.8436,180.0,top
J15,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,99.4748,-59.8436,180.0,top
J16,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,106.4598,-59.8436,180.0,top
J17,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,113.4448,-59.8436,180.0,top
J18,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,120.4298,-59.8436,180.0,top
J19,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,127.4148,-59.8436,180.0,top
J20,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,168.8676,-59.8436,180.0,top
J21,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,162.093058,-59.8572,180.0,top
J22,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,155.089916,-59.8572,180.0,top
J23,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,148.086774,-59.8572,180.0,top
J24,Molex_Mini-Fit_Jr._1x02,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,141.083632,-59.8572,180.0,top
J25,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,47.354,-83.947,-90.0,top
J26,Mini-Fit Jr. 2x03,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,47.354,-66.7,-90.0,top
J28,AMASS_XT60_M,AMASS_XT60-M_1x02_P7.20mm_Vertical,48.6552,-111.8423,0.0,top
J29,AMASS_XT60_M,AMASS_XT60-M_1x02_P7.20mm_Vertical,81.8284,-74.6768,0.0,top
J30,AMASS_XT60_F,AMASS_XT60-F_1x02_P7.20mm_Vertical,48.6552,-98.9419,0.0,top
R1,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,87.694,-113.0001,90.0,top
R2,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,92.266,-113.0001,90.0,top
R3,56,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,96.838,-113.0001,90.0,top
R4,560,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,101.41,-113.0001,90.0,top
R5,150,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,106.02,-112.9376,90.0,top
