Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1206_3216Metric,65.044831,-22.011654,-90.0,top
C2,47uF,C_1206_3216Metric,8.529831,-120.817654,180.0,top
C3,47uF,C_1206_3216Metric,113.685831,-158.917654,90.0,top
C4,47uF,C_1206_3216Metric,149.499831,-129.136154,0.0,top
D1,LED,LED_0402_1005Metric,64.917831,-1.437654,180.0,top
D2,LED,LED_0402_1005Metric,68.219831,-1.437654,180.0,top
D3,LED,LED_0402_1005Metric,73.322831,-1.437654,180.0,top
D4,LED,LED_0402_1005Metric,77.109831,-1.437654,180.0,top
D5,LED,LED_0402_1005Metric,64.917831,-4.231654,180.0,top
D6,LED,LED_0402_1005Metric,68.219831,-4.231654,180.0,top
D7,LED,LED_0402_1005Metric,71.290831,-4.231654,180.0,top
D8,LED,LED_0402_1005Metric,73.957831,-4.231654,180.0,top
D9,LED,LED_0402_1005Metric,93.619831,-1.310654,0.0,top
D10,LED,LED_0402_1005Metric,90.571831,-1.310654,0.0,top
D11,LED,LED_0402_1005Metric,85.491831,-1.437654,0.0,top
D12,LED,LED_0402_1005Metric,81.046831,-1.437654,0.0,top
D13,LED,LED_0402_1005Metric,84.856831,-6.517654,0.0,top
D14,LED,LED_0402_1005Metric,84.221831,-4.358654,180.0,top
D17,LED,LED_0402_1005Metric,8.656831,-149.646654,90.0,top
D18,LED,LED_0402_1005Metric,3.703831,-152.567654,150.0,top
D19,LED,LED_0402_1005Metric,3.576831,-158.155654,-150.0,top
D20,LED,LED_0402_1005Metric,8.783831,-161.203654,-90.0,top
D21,LED,LED_0402_1005Metric,13.736831,-158.028654,-30.0,top
D22,LED,LED_0402_1005Metric,13.609831,-152.313654,30.0,top
D23,LED,LED_0402_1005Metric,20.848831,-155.361654,90.0,top
D24,LED,LED_0402_1005Metric,23.769831,-155.361654,90.0,top
D25,LED,LED_0402_1005Metric,149.499831,-149.646654,90.0,top
D26,LED,LED_0402_1005Metric,144.546831,-152.440654,150.0,top
D27,LED,LED_0402_1005Metric,144.546831,-158.282654,-150.0,top
D28,LED,LED_0402_1005Metric,149.499831,-161.203654,-90.0,top
D29,LED,LED_0402_1005Metric,154.579831,-158.028654,-30.0,top
D30,LED,LED_0402_1005Metric,154.579831,-152.567654,30.0,top
D31,LED,LED_0402_1005Metric,138.196831,-155.488654,90.0,top
