Comment,Designator,Footprint,LCSC,Quantity
1000 nF,C1,CP_Elec_8x10,C134755,1
120,R1,R_0603_1608Metric,C22787,1
LED,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D4,D5,D6,D7,D8,D9",WS2812-2020,C965555,30
SW,J3,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,C471416,1
MC/APU FIRE,SW2,SW_TH_Tactile_Omron_B3F-10xx,,1
FIRE,SW1,SW_TH_Tactile_Omron_B3F-10xx,,1
BL OUT,J2,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,,1
BL IN,J1,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,,1
MountingHole,H3,MountingHole_2.5mm,,1
MountingHole,H2,MountingHole_2.5mm,,1
MountingHole,H1,MountingHole_2.5mm,,1
PWR,D1,LED_D3.0mm,,1
