Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,LED,WS2812-2020,123.463249,-82.798093,-90.0,top
D3,LED,WS2812-2020,123.463249,-90.418093,-90.0,top
D4,LED,WS2812-2020,133.623249,-90.418093,90.0,top
D5,LED,WS2812-2020,133.623249,-82.928149,90.0,top
D6,LED,WS2812-2020,147.423249,-82.928149,-90.0,top
D7,LED,WS2812-2020,147.423249,-90.548149,-90.0,top
D8,LED,WS2812-2020,157.583249,-90.548149,90.0,top
D9,LED,WS2812-2020,157.583249,-82.928149,90.0,top
D10,LED,WS2812-2020,169.214799,-73.31075,0.0,top
D11,LED,WS2812-2020,177.749199,-73.31075,0.0,top
D12,LED,WS2812-2020,186.359799,-73.310751,0.0,top
D13,LED,WS2812-2020,194.894199,-73.310751,0.0,top
D14,LED,WS2812-2020,194.894199,-82.302351,180.0,top
D15,LED,WS2812-2020,186.359799,-82.302351,180.0,top
D16,LED,WS2812-2020,177.749199,-82.302351,180.0,top
D17,LED,WS2812-2020,169.214799,-82.302351,180.0,top
D18,LED,WS2812-2020,169.214799,-91.29395,0.0,top
D19,LED,WS2812-2020,177.749199,-91.29395,0.0,top
D20,LED,WS2812-2020,186.359799,-91.29395,0.0,top
D21,LED,WS2812-2020,194.894199,-91.29395,0.0,top
D22,LED,WS2812-2020,194.894199,-100.28555,180.0,top
D23,LED,WS2812-2020,186.359799,-100.28555,180.0,top
D24,LED,WS2812-2020,177.749199,-100.28555,180.0,top
D25,LED,WS2812-2020,169.214799,-100.28555,180.0,top
D26,LED,WS2812-2020,169.214799,-109.27715,0.0,top
D27,LED,WS2812-2020,177.749199,-109.27715,0.0,top
D28,LED,WS2812-2020,186.359799,-109.27715,0.0,top
D29,LED,WS2812-2020,194.894199,-109.27715,0.0,top
D30,LED,WS2812-2020,194.894199,-118.26875,180.0,top
D31,LED,WS2812-2020,186.359799,-118.26875,180.0,top
R1,R,R_0603_1608Metric,163.194999,-86.858097,-90.0,top
SW1,FIRE,SW_TH_Tactile_Omron_B3F-10xx,130.784599,-83.479897,-90.0,top
SW2,MC/APU FIRE,SW_TH_Tactile_Omron_B3F-10xx,154.749499,-83.492597,-90.0,top
