Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,112.791537,-128.061168,90.0,bottom
D1,Green,LED_D3.0mm,114.751537,-49.002168,180.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,107.773537,-57.981968,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.333537,-58.007768,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,124.311537,-57.982368,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.47,-66.28,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.08,-66.33,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.497537,-72.434768,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127.560537,-78.835768,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.025537,-85.261968,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,113.666537,-85.236168,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,106.69,-75.73,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.935537,-97.809168,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.266537,-97.834568,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,133.201537,-104.006768,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,133.556537,-118.357768,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.452537,-117.452168,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.412537,-117.452168,0.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,110.315537,-118.129168,0.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.624537,-108.756568,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.147537,-129.762168,0.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.233537,-129.813168,0.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.930537,-137.281168,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.816537,-137.281168,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.221537,-137.281168,0.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.196537,-143.555168,0.0,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.779537,-143.580168,0.0,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.956537,-143.605168,0.0,top
D28,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,104.36,-150.47,0.0,top
D29,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,119.677537,-149.916168,0.0,top
D30,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,119.651537,-155.352168,0.0,top
D31,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.072537,-153.802168,0.0,top
D32,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,104.295537,-156.585168,0.0,top
D33,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,104.090537,-161.969168,0.0,top
D34,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,111.972537,-159.702168,0.0,top
D35,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,119.626537,-160.787168,0.0,top
D36,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.969537,-168.472168,0.0,top
D37,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.802537,-168.573168,0.0,top
D38,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.803537,-168.624168,0.0,top
D39,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,104.750537,-175.483168,0.0,top
D40,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.703537,-175.406168,0.0,top
D41,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.704537,-175.406168,0.0,top
D42,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.030537,-183.407168,0.0,top
D43,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,111.966537,-186.099168,0.0,top
D44,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,120.069537,-183.026168,0.0,top
D45,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,140.530537,-183.977168,0.0,top
D46,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,140.668537,-177.819168,0.0,top
D47,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,140.680537,-172.104168,0.0,top
D48,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,140.694537,-166.414168,0.0,top
