Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D2,LED,WS2812-2020,28.14188,-36.171334,180.0,top
D3,LED,WS2812-2020,27.25288,-31.472334,90.0,top
D4,LED,WS2812-2020,28.14188,-25.884334,180.0,top
D5,LED,WS2812-2020,30.30088,-20.931334,0.0,top
D6,LED,WS2812-2020,33.22188,-22.709334,0.0,top
D7,LED,WS2812-2020,36.26988,-21.185334,0.0,top
D8,LED,WS2812-2020,39.57188,-22.963334,0.0,top
D9,LED,WS2812-2020,33.22188,-13.184334,90.0,top
D10,LED,WS2812-2020,33.22188,-7.215334,90.0,top
D11,LED,WS2812-2020,42.36588,-7.215334,-90.0,top
D12,LED,WS2812-2020,42.36588,-13.184334,-90.0,top
D13,LED,WS2812-2020,50.62088,-13.184334,90.0,top
D14,LED,WS2812-2020,50.62088,-7.215334,90.0,top
D15,LED,WS2812-2020,59.76488,-7.215334,-90.0,top
D16,LED,WS2812-2020,59.76488,-13.184334,-90.0,top
D17,LED,WS2812-2020,68.14688,-13.184334,90.0,top
D18,LED,WS2812-2020,68.14688,-7.215334,90.0,top
D19,LED,WS2812-2020,77.29088,-7.215334,-90.0,top
D20,LED,WS2812-2020,77.29088,-13.184334,-90.0,top
D21,LED,WS2812-2020,85.54588,-13.184334,90.0,top
D22,LED,WS2812-2020,85.54588,-7.215334,90.0,top
D23,LED,WS2812-2020,94.68988,-7.215334,-90.0,top
D24,LED,WS2812-2020,94.68988,-13.184334,-90.0,top
D25,LED,WS2812-2020,103.07188,-13.184334,90.0,top
D26,LED,WS2812-2020,103.07188,-7.215334,90.0,top
D27,LED,WS2812-2020,112.21588,-7.215334,-90.0,top
D28,LED,WS2812-2020,112.21588,-13.184334,-90.0,top
D29,LED,WS2812-2020,121.750858,-1.754334,0.0,top
D30,LED,WS2812-2020,125.560858,-1.754334,0.0,top
D31,LED,WS2812-2020,129.23388,-1.754334,0.0,top
D32,LED,WS2812-2020,129.23388,-22.201334,180.0,top
D33,LED,WS2812-2020,125.560858,-22.201334,180.0,top
D34,LED,WS2812-2020,121.750858,-22.201334,180.0,top
R1,R,R_0603_1608Metric,75.395858,-22.782811,-90.0,top
RV1,AUDIO,Bourns_3310Y,126.281131,-10.866585,0.0,top
RV2,DMR,Bourns_3310Y,126.281131,-31.186585,0.0,top
SW1,BIT,SW_TH_Tactile_Omron_B3F-10xx,39.984631,-6.993085,-90.0,top
SW2,OFFSET,SW_TH_Tactile_Omron_B3F-10xx,57.459831,-6.980385,-90.0,top
SW3,SPECIAL,SW_TH_Tactile_Omron_B3F-10xx,74.947732,-6.980385,-90.0,top
SW4,LIMIT,SW_TH_Tactile_Omron_B3F-10xx,87.914431,-13.482785,90.0,top
SW5,POWER,SW_TH_Tactile_Omron_B3F-10xx,105.35153,-13.482785,90.0,top
