Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,112.39246,-87.5919,0.0,bottom
C2,0.1uF,C_0603_1608Metric,91.529,-97.15754,180.0,top
C3,0.1uF,C_0603_1608Metric,126.96962,-95.20682,180.0,top
C4,0.1uF,C_0603_1608Metric,125.2473,-88.06942,180.0,top
C5,0.1uF,C_0603_1608Metric,124.48032,-70.46966,90.0,top
C6,0.1uF,C_0603_1608Metric,124.5108,-79.34442,90.0,top
C7,0.1uF,C_0603_1608Metric,140.00998,-77.97292,0.0,top
C8,0.1uF,C_0603_1608Metric,101.563853,-93.937407,-135.0,top
C9,0.1uF,C_0603_1608Metric,162.76056,-76.30414,180.0,top
C10,0.1uF,C_0603_1608Metric,161.379,-96.42856,180.0,top
C11,0.1uF,C_0603_1608Metric,163.710033,-93.344413,135.0,top
C12,0.1uF,C_0603_1608Metric,147.61,-69.68,-90.0,top
C13,0.1uF,C_0603_1608Metric,141.43726,-85.4202,0.0,top
C14,0.1uF,C_0603_1608Metric,165.524994,-67.9,-90.0,top
D1,Green,LED_D3.0mm,135.535,-66.0,180.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,91.6316,-68.1988,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,97.264492,-73.831502,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.9048,-79.9592,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.8148,-86.8424,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,96.1136,-93.5228,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.302,-93.5988,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,81.37,-88.1128,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,81.3932,-80.2388,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.258567,-73.863864,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.0216,-66.1668,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.0608,-74.9044,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,122.01,-84.2516,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,121.8808,-93.5988,0.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143.0644,-68.7068,0.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,152.2084,-68.402,0.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.126,-68.5544,0.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,146.5072,-74.676,0.0,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,157.5424,-74.7012,0.0,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,162.284069,-81.728775,0.0,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,161.708,-88.722,0.0,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.1476,-94.818,0.0,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.0472,-95.3516,0.0,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,142.5332,-89.4588,0.0,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,141.6696,-81.61,0.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,111.71892,-66.42042,90.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,111.7358,-77.26484,90.0,bottom
R1,470,R_0603_1608Metric,131.43494,-65.99682,180.0,top
