Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,45.4,-19.6,180.0,bottom
C2,0.1uF,C_0603_1608Metric,6.026,-13.2736,0.0,top
C3,0.1uF,C_0603_1608Metric,16.4,-4.0875,-90.0,top
C4,0.1uF,C_0603_1608Metric,14.012,-13.3,0.0,top
C5,0.1uF,C_0603_1608Metric,22.012,-13.3,0.0,top
C6,0.1uF,C_0603_1608Metric,30.512,-13.3,0.0,top
C7,0.1uF,C_0603_1608Metric,41.6,-3.9125,-90.0,top
C8,0.1uF,C_0603_1608Metric,38.912,-13.3,0.0,top
C9,0.1uF,C_0603_1608Metric,47.412,-13.3,0.0,top
C10,0.1uF,C_0603_1608Metric,66.7,-4.0125,-90.0,top
C11,0.1uF,C_0603_1608Metric,66.6,-10.3125,-90.0,top
C12,0.1uF,C_0603_1608Metric,81.812,-6.9,0.0,top
C13,0.1uF,C_0603_1608Metric,88.812,-13.2,0.0,top
C14,0.1uF,C_0603_1608Metric,92.188,-6.9,180.0,top
C15,0.1uF,C_0603_1608Metric,97.612,-6.9,0.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4.4,-9.73,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12.104,-3.2792,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12.333,-9.7562,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.408,-9.7562,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.868,-9.7054,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,37.349,-3.076,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,37.174,-9.7054,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,45.771,-9.731,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,62.408,-3.2032,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,62.331,-9.477,0.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,80.074,-3.3046,0.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,88.075,-3.3046,0.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.11,-9.6546,0.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.949,-3.3046,0.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,23.9,-20.75,180.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,34.8,-20.75,180.0,bottom
