Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,103.640952,-100.237233,-35.0,top
C1,10uF,C_1206_3216Metric,96.139,-114.6302,55.0,top
C7,0.1uF,C_0603_1608Metric,88.954691,-108.776718,55.0,top
C8,0.1uF,C_0603_1608Metric,90.5,-110.0,55.0,top
CAGE1,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,116.6622,-117.7798,-125.0,top
CM1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,85.598,-87.63,-16.0,top
COM1,COMS,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,76.962,-95.631,74.0,top
J2/OUTPUT,BASE,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,94.615,-132.334,0.0,top
SPDBRK1,Conn_01x03,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,111.0996,-105.4862,-35.0,top
U1,ProMini_NoProgrammingHeader,Arduino_Mini_Pro_No_Programming_Header,98.298,-111.633,-125.0,top
