Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,165.586158,-74.014087,90.0,bottom
C2,0.1uF,C_0603_1608Metric,99.194658,-59.391087,0.0,top
C3,0.1uF,C_0603_1608Metric,113.707158,-58.078587,90.0,top
C4,0.1uF,C_0603_1608Metric,110.907158,-63.291087,180.0,top
C5,0.1uF,C_0603_1608Metric,95.599658,-70.831087,0.0,top
C6,0.1uF,C_0603_1608Metric,96.509658,-77.901087,0.0,top
C7,0.1uF,C_0603_1608Metric,84.567158,-88.693087,-90.0,top
C8,0.1uF,C_0603_1608Metric,84.627158,-95.443087,-90.0,top
C9,0.1uF,C_0603_1608Metric,99.679658,-86.761087,0.0,top
C10,0.1uF,C_0603_1608Metric,115.649658,-86.421087,0.0,top
C11,0.1uF,C_0603_1608Metric,116.929658,-75.091087,0.0,top
C12,0.1uF,C_0603_1608Metric,107.949658,-86.671087,0.0,top
C13,0.1uF,C_0603_1608Metric,93.299658,-99.571087,0.0,top
C14,0.1uF,C_0603_1608Metric,104.697158,-94.703087,-90.0,top
C15,0.1uF,C_0603_1608Metric,116.249658,-97.111087,0.0,top
C16,0.1uF,C_0603_1608Metric,123.969658,-97.101087,0.0,top
C17,0.1uF,C_0603_1608Metric,131.529658,-97.131087,0.0,top
C18,0.1uF,C_0603_1608Metric,142.259658,-97.281087,0.0,top
C19,0.1uF,C_0603_1608Metric,149.317158,-97.351087,0.0,top
C20,0.1uF,C_0603_1608Metric,156.699158,-91.151087,0.0,top
C21,0.1uF,C_0603_1608Metric,156.317158,-99.281087,0.0,top
C22,0.1uF,C_0603_1608Metric,158.257158,-82.773087,-90.0,top
C23,0.1uF,C_0603_1608Metric,145.067158,-82.293087,-90.0,top
C24,0.1uF,C_0603_1608Metric,147.957158,-88.359087,-90.0,top
C25,0.1uF,C_0603_1608Metric,135.279658,-91.051087,0.0,top
C26,0.1uF,C_0603_1608Metric,134.189658,-56.791087,0.0,top
C27,0.1uF,C_0603_1608Metric,142.149658,-56.901087,0.0,top
C28,0.1uF,C_0603_1608Metric,150.899658,-56.921087,0.0,top
C29,0.1uF,C_0603_1608Metric,153.9808,-48.4043,-90.0,top
C30,0.1uF,C_0603_1608Metric,162.327158,-54.193587,-90.0,top
C31,0.1uF,C_0603_1608Metric,181.895158,-59.961087,0.0,top
C32,0.1uF,C_0603_1608Metric,99.067,-105.329,0.0,top
C33,0.1uF,C_0603_1608Metric,113.747158,-102.723087,-90.0,top
C34,0.1uF,C_0603_1608Metric,111.307,-108.709,-90.0,top
C35,0.1uF,C_0603_1608Metric,120.117158,-118.553087,-90.0,top
