Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1000uF,CP_Elec_8x10,151.45,-154.97,90.0,bottom
D1,Green,LED_D3.0mm,139.985,-48.78,180.0,bottom
D2,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,125.05,-59.045,0.0,top
D3,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,131.08,-59.08,0.0,top
D4,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,143.005,-95.89,-90.0,top
D5,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,143.035,-101.78,-90.0,top
D6,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,143.015,-108.0,-90.0,top
D7,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,124.37,-143.585,0.0,top
D8,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,130.35,-143.59,0.0,top
D9,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,125.504,-149.719,0.0,top
D10,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,132.616,-149.719,0.0,top
D11,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,139.474,-149.719,0.0,top
D12,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,146.84,-149.719,0.0,top
D13,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,154.15,-149.719,0.0,top
D14,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,130.02,-157.367,0.0,top
D15,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,136.172,-157.339,0.0,top
D16,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,142.522,-157.226,0.0,top
D17,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,142.097,-163.202,120.0,top
D18,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,142.53,-171.935,60.0,top
D19,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,137.497,-178.947,0.0,top
D20,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,131.73,-178.935,0.0,top
D21,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,127.724,-174.599,45.0,top
D22,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,123.315,-170.69,-90.0,top
D23,WS2812B-Mini,LED_WS2812B-MINI_PLCC4_3.5x3.5mm_P1.75mm,123.335,-164.43,-90.0,top
J1,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,150.63,-45.57,180.0,bottom
J2,Mini-Fit Jr. 2x02,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,129.42,-45.57,180.0,bottom
R1,470,R_0603_1608Metric,138.72,-52.66,90.0,top
